150 4 4
37 37 37 37
85 78 46 28
11 48 82 66
78 84 76 87
77 67 97 94
90 6 14 84
65 12 22 88
69 73 21 31
86 65 25 5
15 64 86 47
40 18 63 33
18 68 33 5
61 52 67 55
58 12 100 14
31 89 3 13
79 23 38 2
60 78 100 38
43 98 100 93
75 18 99 47
2 85 15 84
52 40 55 34
68 13 69 59
81 75 16 5
53 30 48 16
73 2 44 31
12 26 10 69
18 44 57 21
22 39 75 75
74 55 7 39
59 98 71 84
39 20 26 22
75 38 74 3
28 62 2 58
82 79 15 53
77 22 69 42
88 76 51 31
28 53 15 33
46 68 26 10
68 70 54 46
18 81 66 54
43 4 14 73
59 77 77 23
47 86 24 30
67 40 57 82
72 58 18 46
59 45 20 62
69 54 85 51
80 60 8 22
46 42 22 42
39 59 41 16
10 94 81 17
32 60 8 56
33 20 22 17
5 21 36 33
89 10 92 6
55 37 56 41
94 39 7 93
85 33 63 5
64 48 16 59
48 61 60 8
38 11 48 55
55 18 100 77
62 24 91 88
28 55 84 79
25 100 50 90
27 58 83 5
74 60 83 65
72 95 81 84
74 30 7 31
52 79 60 29
80 100 23 28
89 91 77 6
22 3 15 40
84 43 9 3
50 26 9 58
87 2 47 8
73 45 94 92
54 88 86 40
72 54 55 85
77 21 33 100
13 47 61 13
15 79 30 11
51 37 9 58
59 95 61 89
15 52 15 98
92 6 96 54
32 36 11 42
52 22 95 64
94 25 77 99
95 90 55 49
8 9 28 87
12 70 95 63
69 69 33 88
56 39 7 93
45 66 23 20
83 90 9 79
71 28 40 84
10 11 77 46
83 38 7 5
40 38 64 49
49 40 37 68
10 28 11 77
65 12 15 30
68 92 5 75
34 67 6 49
84 93 61 73
41 84 76 65
33 87 18 36
95 79 47 27
26 65 74 65
96 76 2 40
80 34 7 28
52 24 12 99
29 31 58 97
55 74 69 99
34 65 61 96
85 32 32 72
48 35 65 24
11 20 21 72
28 58 64 90
96 27 18 12
16 14 42 57
32 37 65 24
21 90 99 18
68 60 57 98
76 79 4 22
90 4 86 22
57 67 3 28
80 51 67 20
78 8 73 76
66 57 56 76
10 85 5 72
20 58 60 74
83 87 40 41
86 56 65 3
65 68 18 8
41 44 63 6
35 56 90 85
18 59 39 65
88 35 17 90
33 87 44 55
44 12 52 25
15 70 86 21
40 46 71 85
27 73 91 35
36 8 17 79
13 7 29 62
67 76 57 81
18 39 6 26
6 13 73 41
71 21 65 63
