100 5 4
25 25 25 25
22 18 62 21 21
45 75 13 14 81
46 54 47 12 29
96 88 60 69 84
92 31 41 92 48
36 46 88 21 74
63 75 94 10 14
82 11 92 84 57
62 96 25 91 2
96 42 68 99 47
6 10 5 24 30
68 11 4 77 89
97 24 17 92 20
89 19 36 68 74
84 93 25 90 45
20 15 91 37 10
60 96 23 22 97
25 67 82 79 88
41 53 93 26 44
100 29 5 18 54
29 30 79 43 79
12 6 32 65 24
2 62 16 67 29
10 53 46 15 91
32 53 53 87 18
63 33 10 61 19
99 34 22 28 21
93 36 47 27 77
89 88 90 95 81
48 50 48 40 24
3 84 51 45 71
91 39 23 20 14
93 95 42 68 52
22 62 86 88 66
96 88 81 71 83
57 88 56 90 67
6 5 95 88 78
49 60 92 80 30
54 36 5 12 93
29 18 51 23 39
68 89 53 24 4
99 73 48 58 64
12 61 6 46 75
98 88 72 84 98
54 4 93 26 59
98 61 88 40 47
2 89 45 86 90
42 37 9 66 19
96 47 51 11 47
44 59 29 94 46
24 89 23 48 26
66 9 94 42 50
31 82 98 53 34
86 85 92 42 45
17 93 13 61 51
39 65 86 40 3
75 64 17 15 72
54 14 8 33 45
67 19 79 31 59
28 38 32 52 37
58 82 87 17 72
41 22 79 26 30
42 45 24 31 24
37 22 40 61 36
95 9 71 88 55
62 61 3 13 40
22 97 15 71 22
32 57 27 26 85
47 9 18 17 33
50 21 80 51 9
10 50 28 94 96
55 60 52 9 3
59 100 46 24 82
12 65 74 75 13
88 57 46 57 56
75 87 27 17 18
60 31 61 77 40
25 10 56 75 30
60 56 32 90 24
92 35 49 86 97
71 25 32 88 20
63 20 44 100 99
92 83 46 57 16
9 50 27 57 36
59 40 76 87 88
23 61 22 44 97
35 22 76 15 40
45 39 48 14 26
59 97 68 94 10
49 47 64 45 39
28 36 51 34 100
34 43 14 43 22
99 82 32 8 80
95 38 69 72 73
71 29 8 20 98
18 88 44 96 69
66 53 59 3 14
85 57 88 67 76
42 64 47 20 68
53 27 77 3 1
