60 5 4
15 15 15 15
6 92 53 93 38
99 54 26 74 64
35 72 98 83 17
20 55 29 12 2
38 36 89 44 89
98 46 21 49 4
37 9 61 80 3
85 87 53 54 77
53 50 97 9 45
63 71 38 71 26
48 45 90 74 82
3 36 81 47 94
36 98 84 35 82
34 70 22 36 79
1 92 95 83 94
55 6 53 50 66
95 81 14 36 41
43 46 27 34 78
51 95 64 99 82
18 82 50 3 56
19 54 13 59 2
21 86 84 13 65
27 43 43 36 64
42 49 60 6 51
6 32 62 10 24
12 79 8 71 27
2 3 71 95 37
54 60 24 37 66
72 18 65 9 7
93 39 40 76 28
5 61 44 75 75
42 91 18 48 91
15 42 97 92 36
3 34 14 8 81
2 65 84 39 100
30 30 98 57 77
13 93 98 73 84
63 82 27 55 97
92 26 33 37 50
35 15 41 86 39
37 55 37 70 95
91 56 54 7 47
31 54 37 29 74
48 26 37 87 68
87 59 65 21 8
44 85 20 35 25
26 10 10 62 33
45 73 27 83 93
18 17 11 30 96
51 99 25 58 14
59 5 27 20 30
19 24 25 44 35
39 48 94 41 8
71 78 1 4 69
23 25 72 22 50
56 9 45 88 88
22 96 100 2 91
83 28 14 39 41
63 13 5 29 25
54 1 29 41 6
