200 5 4
50 50 50 50
97 14 98 47 83
10 20 82 58 14
69 25 64 84 100
98 23 37 67 88
59 16 87 100 39
99 28 77 32 29
15 2 91 79 81
89 67 26 19 94
2 96 67 32 28
71 38 59 89 68
62 24 41 28 23
61 23 71 98 69
88 12 64 72 98
69 37 68 3 16
8 93 19 92 85
63 5 11 55 93
45 60 15 14 28
35 27 66 65 99
43 60 12 20 64
80 90 93 6 16
71 19 85 78 74
66 91 6 56 35
28 33 12 82 40
25 83 65 43 89
84 22 36 94 81
9 5 39 18 65
23 50 85 4 86
99 16 77 27 66
93 88 80 5 52
2 90 16 37 8
91 32 39 96 18
23 55 10 13 4
34 47 5 45 62
93 63 62 2 82
8 99 49 13 63
91 92 47 49 27
67 57 63 36 73
10 99 43 69 25
49 49 31 26 58
29 18 13 3 51
47 64 25 61 87
53 83 3 85 88
51 83 9 65 45
19 65 29 90 67
46 47 44 57 14
9 5 13 90 70
57 86 96 86 91
94 25 83 33 2
85 47 23 41 89
41 70 44 26 59
46 16 36 100 50
45 90 43 47 35
84 48 2 95 25
67 100 27 88 68
67 20 57 35 60
39 82 52 82 5
6 33 46 34 83
10 18 4 91 66
44 34 42 36 28
16 66 88 17 5
86 45 86 26 8
9 15 90 98 71
41 42 30 35 95
32 15 99 6 75
10 76 21 49 41
79 46 26 56 18
92 48 16 27 59
5 39 56 19 92
88 32 44 82 63
35 48 58 56 5
1 40 76 29 3
44 14 48 23 92
10 68 97 27 92
36 61 68 26 6
27 62 77 21 71
98 96 56 59 82
70 22 82 45 41
59 68 54 96 47
46 44 21 72 90
69 93 57 40 81
29 63 88 95 27
89 57 6 56 64
61 22 21 74 92
44 4 30 34 60
94 32 1 83 84
85 3 90 43 23
11 30 20 64 38
57 17 86 96 72
44 86 65 78 70
4 45 71 49 1
61 87 87 66 89
1 46 13 55 44
14 20 68 96 39
68 22 91 51 29
54 53 97 50 85
7 82 96 53 33
16 31 86 29 40
91 59 39 83 71
94 11 52 15 32
68 73 61 34 51
97 87 27 66 75
47 89 9 71 17
85 34 94 92 82
94 58 27 68 59
91 53 53 94 31
17 11 74 66 91
93 70 38 90 5
71 72 28 76 49
65 88 37 17 36
23 36 83 54 3
66 47 20 43 48
53 28 57 96 39
44 31 33 39 63
73 75 86 53 16
79 95 93 75 47
34 6 1 57 83
43 100 8 41 18
37 83 57 29 93
73 69 75 59 22
23 72 35 44 30
17 44 84 90 2
12 14 47 46 35
13 93 65 30 86
81 5 1 90 68
52 43 71 57 47
69 13 93 7 26
81 84 83 29 87
38 96 39 59 40
68 87 80 74 34
36 95 86 74 46
99 41 4 38 23
20 75 8 6 92
19 63 98 82 99
53 70 30 3 76
100 72 70 27 31
19 4 16 10 56
18 32 17 59 55
9 57 50 30 32
45 16 41 63 42
21 86 87 97 77
62 14 59 44 86
95 39 57 70 74
4 99 72 99 48
81 42 89 20 4
96 92 43 28 8
10 17 6 91 27
45 83 39 36 88
93 46 4 13 68
85 95 79 82 94
15 28 29 96 46
10 6 50 43 16
92 80 38 39 12
80 58 50 37 68
59 25 16 76 61
50 42 8 42 28
7 62 59 89 87
96 37 47 86 69
81 65 37 8 49
99 70 49 53 88
28 16 2 72 12
10 12 23 43 78
87 19 15 97 22
51 36 42 93 68
32 58 96 59 40
15 46 69 85 59
78 73 89 70 85
100 56 37 18 81
14 4 57 5 11
14 34 28 2 63
25 35 76 6 64
64 39 5 99 19
75 97 41 82 64
57 40 77 90 68
45 89 96 92 10
62 15 97 21 73
43 42 51 85 2
69 53 80 69 96
28 69 32 66 55
10 98 77 62 23
47 29 95 80 82
90 34 45 39 96
78 40 49 67 57
91 79 72 57 19
21 81 22 57 14
96 26 39 59 77
73 88 94 80 45
37 85 54 75 79
92 52 80 68 75
11 76 56 16 44
56 90 30 8 71
44 60 79 74 47
77 31 19 56 7
54 24 4 39 52
85 62 100 49 100
2 91 32 96 28
50 70 1 26 86
93 31 29 25 30
69 27 10 63 86
76 58 33 8 15
24 81 96 7 64
