80 5 4
20 20 20 20
46 98 74 34 31
31 68 55 77 63
29 26 59 67 16
86 48 45 17 27
97 58 37 54 34
38 26 34 46 14
70 17 70 30 47
11 12 19 59 19
69 83 71 50 17
76 57 38 56 28
42 38 3 72 26
80 27 67 51 90
2 91 18 41 72
78 60 93 87 57
44 63 32 73 68
77 1 75 65 12
78 39 95 84 71
38 70 84 34 71
23 25 21 75 15
16 77 83 17 32
50 87 48 36 85
38 31 42 48 88
41 6 20 60 59
90 55 47 99 26
69 87 94 78 90
96 19 1 78 2
98 48 5 52 24
6 45 46 2 95
44 71 95 84 69
93 84 71 6 26
62 59 60 45 97
90 43 88 44 77
65 77 52 21 51
30 48 71 65 48
59 32 21 11 51
37 37 38 96 22
70 94 40 61 1
98 60 57 61 95
81 24 88 14 16
98 85 97 40 99
96 13 39 72 65
47 76 88 28 85
28 51 6 32 81
80 23 79 42 16
98 8 37 33 30
95 58 28 40 15
14 90 74 3 87
41 61 6 33 3
30 41 79 17 37
85 58 18 94 71
95 41 36 14 100
36 14 10 50 29
45 43 50 70 31
54 38 96 57 81
62 44 37 71 93
15 15 87 58 26
45 20 59 79 59
80 37 66 37 19
63 68 4 79 93
99 33 98 12 63
51 18 81 36 87
75 69 63 24 13
88 35 17 53 68
2 60 63 3 37
24 36 82 75 6
16 74 16 41 1
43 7 10 38 18
62 33 83 91 36
96 49 15 6 37
41 93 90 65 34
85 57 4 36 54
78 63 36 57 99
98 30 29 21 7
81 65 85 37 75
88 6 58 98 22
8 17 70 3 32
85 42 72 56 25
93 59 63 64 19
16 57 39 42 8
46 89 73 52 91
