60 4 4
15 15 15 15
54 23 17 32
37 18 64 6
5 44 91 70
1 84 23 30
85 39 42 24
80 25 97 21
12 86 70 90
73 48 27 99
48 37 78 46
95 33 4 18
16 64 24 43
61 18 54 92
53 35 38 66
17 68 14 86
51 79 79 19
11 63 54 31
80 77 20 93
2 89 78 38
11 63 1 94
33 7 12 4
79 54 70 68
23 45 76 52
56 29 21 29
64 25 74 27
9 7 82 87
8 27 76 63
89 33 27 31
100 59 54 77
58 45 100 10
82 62 5 53
44 81 84 23
63 100 76 46
8 61 59 5
60 91 69 83
34 44 14 76
29 85 92 71
88 56 23 79
42 98 85 27
14 21 98 45
96 59 37 84
56 59 65 38
51 23 69 54
11 17 49 74
20 57 61 34
81 65 41 35
81 16 29 1
57 60 2 98
73 46 97 28
54 56 12 58
88 90 15 2
95 33 76 21
87 89 9 54
92 48 54 92
87 1 78 7
92 52 51 85
12 71 67 16
74 16 17 24
92 36 81 51
16 54 17 19
57 44 15 47
