100 4 4
25 25 25 25
88 53 33 53
49 30 80 96
51 93 32 52
50 19 89 25
45 85 1 51
25 80 52 100
13 49 60 93
88 56 97 50
64 56 61 34
17 27 87 55
27 83 44 10
76 88 14 64
39 52 42 100
77 9 55 75
83 17 97 79
15 80 93 87
31 15 75 70
18 54 93 34
40 15 28 27
17 35 93 67
95 14 18 29
5 81 50 46
37 67 4 54
46 13 31 55
80 55 73 53
62 48 61 47
16 25 38 71
92 12 67 99
81 59 57 60
21 82 61 14
1 46 42 91
10 71 73 12
68 78 52 60
73 60 14 93
97 85 100 40
93 32 30 63
65 81 11 32
67 72 93 65
50 92 14 13
18 25 10 38
1 75 54 83
19 36 76 16
18 66 62 56
17 13 87 24
16 1 8 53
56 89 87 48
9 7 33 95
23 58 29 68
39 59 39 92
77 34 53 95
26 30 72 82
40 48 29 52
18 12 34 77
49 70 12 76
79 67 6 97
94 45 5 48
26 22 73 19
14 62 28 59
11 45 77 64
2 97 42 90
14 55 44 96
45 7 69 55
83 45 52 18
20 62 14 20
46 26 54 74
95 37 81 26
73 29 50 96
20 7 31 56
74 12 88 67
7 17 30 31
43 65 37 74
34 14 79 32
2 4 53 75
16 76 40 69
7 8 41 19
33 57 78 59
88 29 75 62
7 43 97 72
77 82 37 4
71 94 35 63
26 3 84 14
67 6 52 99
10 17 51 28
64 24 19 42
83 65 49 38
95 81 88 66
25 86 30 100
39 62 20 92
4 37 1 40
9 4 83 87
28 6 35 25
11 79 46 61
70 62 2 39
99 30 45 49
100 27 4 62
29 55 91 71
36 74 14 69
88 58 38 97
7 88 28 79
60 5 42 69
