500 4 4
125 125 125 125
92 63 24 45
93 22 79 23
39 97 31 41
96 54 75 19
25 18 15 40
42 22 54 95
28 5 89 99
51 85 39 67
48 1 10 44
59 8 29 53
8 87 38 55
74 32 15 93
25 51 82 10
81 37 36 37
8 25 43 58
40 100 95 75
40 77 86 14
79 24 70 31
50 67 89 4
81 79 1 35
99 10 53 84
99 4 17 41
18 5 68 24
68 36 52 74
87 19 74 41
88 76 67 100
25 41 63 96
93 11 46 64
51 37 1 13
47 55 75 52
22 82 81 68
11 57 97 42
53 42 23 64
77 12 100 72
100 29 89 2
86 73 96 50
34 59 74 83
41 24 86 51
44 88 99 27
99 95 25 96
59 4 10 94
18 5 29 20
68 81 55 20
57 74 89 49
72 57 12 32
89 49 85 52
7 75 65 84
59 7 12 50
23 83 69 34
97 59 65 83
95 12 43 65
74 60 42 72
14 61 82 96
49 86 64 26
87 60 89 63
68 46 19 85
19 86 44 45
87 45 83 99
85 61 83 78
45 94 63 75
11 63 47 78
5 56 86 46
95 3 18 56
40 67 13 61
71 76 64 19
35 55 48 71
83 82 42 66
20 77 91 75
11 59 54 38
72 21 34 62
83 100 40 76
40 49 17 38
63 28 48 91
80 88 75 42
86 48 30 64
11 82 51 91
92 22 51 18
26 70 73 93
81 14 97 27
16 52 84 33
77 7 31 68
97 58 3 14
91 93 35 23
41 23 49 8
9 87 24 80
55 46 45 54
48 16 36 8
59 90 97 99
60 75 18 86
60 24 8 77
67 71 79 19
17 39 78 71
70 75 64 78
41 91 89 100
59 62 76 37
89 33 93 24
7 20 59 92
34 50 27 68
45 42 6 98
25 14 55 96
38 29 57 53
63 14 84 98
8 92 10 98
66 36 12 66
79 11 53 47
94 89 20 60
42 81 85 32
57 10 86 16
56 88 97 46
27 86 11 27
44 55 22 24
25 86 72 96
40 75 76 62
64 89 44 65
2 19 50 8
55 37 52 42
99 71 28 51
16 64 56 94
25 51 33 87
34 86 69 89
19 7 31 52
84 26 63 76
69 99 55 43
87 37 19 56
47 4 9 75
75 35 20 89
3 13 74 31
84 48 98 16
99 96 28 17
2 63 77 20
78 64 57 20
42 2 74 29
90 54 3 37
10 83 65 49
28 98 82 19
94 27 7 79
32 80 87 49
90 31 78 46
78 70 27 50
54 11 93 58
52 100 89 85
20 88 83 60
83 17 20 7
49 68 66 61
76 27 61 64
88 39 30 32
74 18 83 60
50 96 18 30
40 25 10 40
50 48 88 79
38 80 26 47
61 86 73 5
58 40 94 56
66 8 77 23
99 18 48 7
21 28 80 21
23 34 30 68
70 18 33 78
37 67 79 9
53 64 70 18
64 85 94 82
18 24 68 87
7 75 33 14
24 35 25 2
31 94 28 66
77 88 55 18
99 34 1 34
67 82 2 1
48 49 38 65
80 26 18 3
93 97 50 31
99 38 84 87
82 4 10 90
29 72 43 45
56 29 73 6
5 69 81 95
79 15 100 26
68 11 88 65
37 37 39 28
21 17 55 94
30 85 53 94
94 33 28 13
4 45 87 56
83 80 95 68
94 70 99 42
47 67 86 22
76 46 31 3
72 100 18 40
47 98 68 97
32 26 5 30
93 93 10 84
22 93 25 13
95 37 83 27
23 33 4 36
94 68 33 19
36 77 70 52
16 87 87 82
98 68 75 31
25 97 87 9
53 44 98 78
57 23 27 37
57 81 69 64
48 41 33 70
26 38 86 11
64 47 83 11
69 36 12 75
94 23 59 46
56 70 60 18
69 5 60 100
7 22 23 70
7 43 34 68
29 38 9 17
8 12 7 72
4 86 56 65
38 24 8 6
17 91 76 76
96 34 20 79
98 41 35 60
25 47 16 54
79 88 57 78
32 80 54 42
14 96 32 97
25 15 31 18
19 10 55 81
67 60 30 44
10 54 23 38
34 7 17 34
56 66 64 31
91 45 51 89
75 40 92 31
56 68 34 83
44 42 98 83
93 92 3 86
94 92 16 94
63 74 42 47
6 57 42 74
33 75 75 85
52 83 86 88
100 42 54 49
16 60 70 100
96 77 63 44
16 9 29 12
85 24 97 47
94 21 65 41
51 96 90 50
52 100 51 75
51 26 7 6
56 78 7 100
85 3 6 63
22 10 77 4
85 27 48 19
71 75 80 85
59 15 15 24
9 20 30 25
9 16 56 17
71 48 31 3
30 28 71 77
30 18 95 71
56 29 4 17
74 12 49 100
94 57 10 60
79 1 19 76
89 10 7 66
59 90 6 11
90 38 45 11
48 49 3 87
15 62 28 23
50 42 7 58
39 37 95 39
79 20 29 65
48 34 36 32
52 42 9 56
39 24 88 14
10 23 79 6
54 85 65 37
2 50 48 73
80 51 87 20
33 99 85 49
51 92 26 89
69 35 31 85
36 90 92 21
51 97 71 1
1 38 9 91
63 91 39 98
72 90 67 3
55 46 38 54
44 36 47 36
5 100 99 59
14 79 49 24
91 23 23 19
25 35 78 84
93 99 57 35
50 87 69 28
51 26 13 46
68 66 48 37
40 88 29 82
89 28 62 87
55 30 32 68
45 69 29 45
3 33 50 79
48 83 93 91
51 58 76 28
86 54 76 9
77 26 98 55
2 52 66 73
14 32 30 27
83 52 90 23
99 33 22 80
54 15 50 86
