200 4 4
50 50 50 50
21 55 9 17
39 50 3 8
80 2 77 19
44 79 93 15
40 31 51 80
90 60 3 9
63 63 26 52
15 60 93 37
29 62 4 9
36 8 49 92
59 18 72 6
51 50 52 49
36 100 86 70
25 70 49 68
96 10 50 47
23 74 22 93
40 54 14 35
51 7 3 85
62 84 44 68
21 54 88 81
10 10 29 46
71 29 39 66
17 70 22 7
77 64 73 90
75 99 48 99
57 46 91 77
35 53 10 1
48 73 91 9
57 69 79 83
10 17 54 66
43 65 62 26
86 24 19 80
23 14 61 27
10 77 70 17
91 54 83 66
70 14 12 90
91 1 66 11
36 74 96 87
15 89 26 75
34 5 35 51
56 55 29 82
13 72 7 55
32 35 58 66
42 33 47 43
73 46 37 36
33 77 74 54
30 63 100 87
70 53 93 36
61 29 48 5
4 18 83 14
91 37 21 37
32 82 51 75
60 89 70 3
73 52 23 86
100 23 23 62
12 73 87 53
7 38 63 86
73 34 21 85
99 89 74 83
42 90 68 33
76 16 13 70
49 1 44 2
24 23 28 13
83 15 79 70
27 44 18 55
3 20 43 48
80 34 99 13
55 56 97 78
19 87 49 16
23 60 73 55
5 78 16 19
68 86 74 95
35 60 29 97
31 21 47 16
69 71 37 21
5 81 73 93
76 46 79 69
7 82 70 87
68 18 46 13
100 91 14 89
58 64 88 97
42 20 10 9
50 31 98 85
73 13 77 2
79 42 44 62
62 38 38 15
28 72 58 96
64 92 5 5
99 41 90 4
81 63 18 45
33 71 86 86
11 25 75 27
77 87 53 11
28 56 61 40
60 80 15 69
38 97 63 52
28 51 80 29
97 96 22 60
40 98 67 62
85 13 75 63
36 35 56 23
76 70 73 73
12 29 75 97
45 72 84 87
87 14 31 56
1 38 13 61
25 16 39 75
46 24 14 80
59 80 25 21
84 7 51 3
32 7 84 94
39 80 46 23
31 33 44 88
64 75 31 86
18 96 52 18
30 2 67 48
45 88 72 5
41 90 28 72
23 92 98 33
17 43 32 76
91 27 77 14
26 74 87 6
92 73 27 30
75 68 83 91
52 52 87 26
74 69 35 85
26 60 23 83
45 28 73 23
58 3 90 100
38 35 25 47
58 74 23 50
69 15 45 63
5 65 98 93
1 81 70 44
25 20 89 71
26 63 24 93
94 43 28 7
28 51 96 27
78 54 16 89
22 37 56 48
16 28 62 5
5 28 88 6
76 71 44 66
76 69 62 83
72 24 16 33
89 8 62 35
17 78 5 27
60 78 46 88
34 75 80 2
44 85 18 65
63 91 72 92
37 31 8 95
36 51 86 80
95 3 27 23
100 14 45 40
50 5 15 36
19 28 31 46
69 29 2 61
82 43 37 63
10 77 76 100
90 30 32 49
42 84 91 26
16 53 3 46
40 12 82 30
44 74 39 29
83 98 66 9
39 9 57 43
11 94 42 29
4 58 80 52
9 25 28 7
26 60 42 78
36 42 81 97
16 70 60 98
18 73 7 64
89 54 92 35
59 70 46 85
59 34 94 60
52 12 88 30
15 43 29 84
96 38 65 78
25 71 96 11
33 81 14 97
87 5 70 88
81 47 14 86
2 4 97 66
20 71 31 52
53 52 63 50
52 18 42 80
23 79 30 20
48 27 5 7
69 63 29 38
48 19 2 24
35 26 28 80
88 5 77 47
93 98 36 50
53 76 37 53
19 29 97 72
89 55 96 54
58 38 84 64
34 36 74 56
