150 5 4
37 37 37 37
84 25 31 58 16
41 92 99 36 10
1 99 97 54 63
6 89 6 78 91
82 3 89 6 95
82 92 42 45 49
39 34 95 45 27
62 84 90 31 51
40 69 46 58 82
58 42 32 26 87
83 64 20 92 77
13 38 4 100 95
31 58 32 86 58
58 66 42 77 41
97 63 60 32 3
18 70 44 81 54
30 74 18 32 1
54 62 26 64 8
8 58 29 67 95
39 28 22 98 19
44 75 22 80 99
78 76 5 12 76
71 32 8 67 7
86 63 35 45 57
59 17 47 10 85
23 26 75 96 26
8 78 17 10 52
75 39 61 18 40
84 78 48 82 18
71 88 58 96 5
3 66 60 83 89
31 95 2 33 81
23 96 92 77 57
31 82 45 86 74
19 5 46 30 33
23 21 17 14 40
97 9 37 65 12
62 44 78 74 14
92 2 15 30 62
81 21 60 15 21
46 36 14 34 12
78 99 48 60 9
67 35 57 37 47
38 56 14 84 90
39 29 20 27 7
57 79 22 61 32
43 4 21 8 25
27 54 82 58 16
69 95 100 26 67
25 23 94 36 35
94 14 22 38 81
89 83 15 7 85
37 15 61 32 30
31 19 92 29 81
82 70 93 58 9
75 47 81 70 44
35 5 46 60 14
28 10 2 18 65
95 14 69 39 95
61 63 93 97 11
24 87 34 82 52
44 21 44 4 26
50 97 39 63 97
79 23 87 69 13
44 20 81 49 100
64 63 84 46 13
5 30 39 100 40
21 12 98 18 42
18 74 60 87 17
14 16 66 63 38
19 88 38 4 24
86 95 58 61 66
44 60 71 75 83
52 78 50 94 43
75 95 45 29 20
24 34 52 30 88
71 90 30 14 46
36 57 59 60 15
67 4 81 90 64
92 3 71 88 39
100 70 29 49 51
7 100 67 87 9
100 38 41 16 2
32 17 34 72 52
85 87 79 19 91
10 87 13 33 80
19 13 69 61 76
83 67 88 66 26
62 40 21 10 89
63 22 94 73 55
20 30 14 46 71
67 87 69 84 50
69 8 89 23 55
33 84 66 74 84
46 87 24 16 45
9 44 79 36 45
1 44 48 5 41
73 78 76 60 68
77 4 74 35 76
33 32 8 38 21
9 42 34 59 23
54 31 72 57 68
58 26 67 25 48
11 28 62 4 8
3 5 30 12 97
57 34 44 19 12
9 25 97 68 2
56 31 72 19 24
41 70 93 9 62
5 41 24 53 65
56 48 58 34 34
9 32 83 32 38
42 90 46 30 7
71 57 87 1 60
29 60 37 63 90
50 63 5 85 88
72 44 4 16 87
58 20 21 88 48
19 43 5 57 96
15 36 42 2 93
57 84 87 40 98
99 21 75 27 22
99 78 25 66 60
6 75 39 95 79
92 56 16 30 98
62 42 48 16 46
37 85 97 15 73
26 6 53 83 82
10 12 25 84 43
5 93 45 44 42
5 61 14 48 27
33 25 91 77 93
45 55 83 28 33
77 93 28 9 6
22 73 3 92 5
23 5 86 59 84
10 95 20 57 20
96 81 89 59 81
95 27 43 85 21
39 50 25 85 89
83 48 93 12 5
81 88 67 95 40
61 11 51 81 47
59 44 17 99 9
20 68 6 86 39
80 69 9 93 47
35 80 22 9 29
7 7 51 58 11
10 96 30 84 4
51 66 79 94 16
