80 4 4
20 20 20 20
62 97 27 27
8 57 58 33
53 84 88 12
45 72 25 9
67 69 45 98
89 47 9 15
51 72 76 1
84 99 99 86
32 98 52 89
5 46 39 94
55 29 50 67
31 11 64 75
76 65 98 20
40 58 80 45
57 44 73 57
3 9 22 82
64 95 4 14
91 9 44 30
79 19 46 3
4 39 23 23
72 83 27 33
98 86 8 73
94 80 88 15
71 25 12 53
86 100 63 46
23 74 51 64
17 92 79 35
6 19 68 75
94 32 51 90
36 32 98 73
9 25 30 12
22 14 68 63
14 91 14 52
43 56 23 3
40 30 21 18
70 76 40 63
4 60 4 49
21 91 55 46
66 65 48 91
91 39 36 13
23 12 78 38
99 29 45 86
73 18 57 28
42 22 1 38
65 63 82 7
44 46 33 90
28 98 79 91
50 3 62 63
42 94 68 5
92 33 80 63
96 15 47 70
37 19 3 4
48 17 12 59
83 71 2 84
72 22 25 62
75 20 72 76
67 1 75 18
46 90 60 99
68 61 12 3
14 54 72 76
63 42 50 90
84 76 55 5
24 53 56 13
36 4 77 88
9 3 71 6
6 63 89 92
73 6 49 99
82 51 33 60
11 83 95 79
70 68 20 67
22 64 31 72
12 95 98 4
59 72 44 86
59 23 85 37
99 63 71 19
26 100 47 65
71 21 36 42
76 36 19 84
4 49 56 86
29 96 25 19
