400 4 4
100 100 100 100
98 14 28 54
36 17 100 86
88 69 37 82
80 6 16 30
76 37 65 25
25 53 29 31
17 22 25 96
12 33 46 56
82 39 44 65
11 16 56 49
49 26 59 82
63 43 13 66
41 93 53 93
7 25 96 67
88 28 3 50
95 87 5 14
61 83 99 79
43 98 87 20
4 30 53 57
69 83 10 30
49 40 24 2
9 88 22 48
4 29 6 95
12 58 65 41
45 91 58 72
54 44 28 64
46 87 92 63
38 40 67 8
33 73 32 68
47 41 21 56
50 91 3 84
78 41 94 3
63 45 33 42
79 35 5 67
49 43 67 7
60 91 94 3
45 71 20 43
47 91 62 1
41 39 28 62
6 74 79 22
64 6 73 100
64 27 72 9
75 80 79 92
78 99 93 64
65 46 20 28
59 38 27 4
44 69 84 35
32 82 84 13
48 83 78 94
99 41 83 56
7 44 66 95
30 66 39 38
46 26 84 2
1 84 92 10
21 88 78 53
58 41 40 49
10 25 39 46
70 90 84 88
4 89 44 69
3 12 74 51
72 59 35 75
24 62 27 20
1 68 81 25
31 65 58 58
22 35 5 27
43 19 31 44
87 54 84 62
24 75 33 7
52 42 45 75
6 97 34 51
72 38 8 54
33 21 63 29
29 17 69 47
60 77 33 92
42 60 1 75
67 37 97 19
26 76 33 50
64 87 96 23
1 91 33 4
11 69 55 62
78 42 87 75
73 16 20 26
54 34 81 29
86 75 60 63
9 48 1 2
99 13 64 62
82 24 15 82
22 25 100 28
69 38 17 84
100 4 36 93
66 55 25 73
82 43 36 53
53 33 78 41
61 72 56 42
100 95 63 57
3 52 38 62
28 8 80 19
97 77 60 32
56 32 20 2
83 65 76 48
35 24 2 69
43 31 93 41
31 12 17 90
76 70 23 76
10 75 57 90
70 6 41 53
50 1 35 12
53 69 25 78
70 90 23 84
93 13 50 24
57 42 56 4
60 2 82 6
25 47 97 90
97 96 77 31
50 44 44 73
34 35 90 96
51 50 26 14
59 8 41 54
14 50 34 67
30 31 1 71
89 9 62 43
87 1 99 28
94 46 69 30
100 74 42 60
10 84 90 68
55 97 21 28
62 55 37 6
82 93 43 65
98 40 88 70
57 73 94 38
34 62 56 26
44 27 40 32
8 58 58 25
52 20 19 35
74 22 65 45
33 92 77 76
32 58 80 81
36 32 45 65
48 15 64 56
88 93 80 10
48 83 46 35
95 53 92 39
65 68 47 66
47 36 43 26
77 86 20 97
93 61 4 13
70 26 95 38
22 81 72 80
14 89 67 51
42 15 6 91
27 1 67 99
76 2 43 32
78 41 14 94
95 27 79 12
